date,ticker,type,price,shares,cash,portfolio_value
2023-08-21T00:00:00,CMCSA,BUY,43.07381057739258,232.0,90006.87594604492,100000.0
2023-08-22T00:00:00,CMCSA,BUY,42.801429748535156,210.0,81018.57569885254,99936.80764770508
2023-08-23T00:00:00,CMCSA,BUY,42.6981086730957,189.0,72948.63315963745,99891.13973236084
2023-08-24T00:00:00,CMCSA,BUY,42.491485595703125,171.0,65682.58912277222,99760.76057052612
2023-08-25T00:00:00,CMCSA,BUY,42.70751190185547,153.0,59148.33980178833,99934.0136680603
2023-08-28T00:00:00,CMCSA,SELL,43.18651580810547,955.0,100391.46239852905,141634.58499526978
2023-08-31T00:00:00,CMCSA,BUY,43.91913986206055,228.0,90377.89850997925,100391.46239852905
2023-09-01T00:00:00,CMCSA,BUY,42.95170593261719,210.0,81358.04026412964,100170.88746261597
2023-09-05T00:00:00,CMCSA,BUY,41.85279846191406,194.0,73238.59736251831,99689.565990448
2023-09-06T00:00:00,CMCSA,SELL,42.2003173828125,632.0,99909.19794845581,126579.79853439331
2023-09-13T00:00:00,CMCSA,BUY,42.444515228271484,235.0,89934.73686981201,99909.19794845581
2023-09-14T00:00:00,CMCSA,BUY,43.17713165283203,208.0,80953.89348602295,100081.36280822754
2023-09-15T00:00:00,CMCSA,BUY,42.58539581298828,190.0,72862.66828155518,99819.22383117676
2023-09-18T00:00:00,CMCSA,BUY,42.86717224121094,169.0,65618.11617279053,99997.5883102417
2023-09-19T00:00:00,CMCSA,BUY,42.95170593261719,152.0,59089.456871032715,100065.38433074951
2023-09-20T00:00:00,CMCSA,BUY,42.735679626464844,138.0,53191.93308258057,99859.29523468018
2023-09-21T00:00:00,CMCSA,BUY,42.92353057861328,123.0,47912.33882141113,100064.42847442627
2023-09-22T00:00:00,CMCSA,BUY,42.54783630371094,112.0,43146.98115539551,99607.95993041992
2023-09-25T00:00:00,CMCSA,BUY,42.143959045410156,102.0,38848.29733276367,99072.01480865479
2023-09-26T00:00:00,CMCSA,SELL,41.5522346496582,1429.0,98226.44064712524,157604.58396148682
2023-10-11T00:00:00,CMCSA,BUY,41.82486343383789,234.0,88439.42260360718,98226.44064712524
2023-10-12T00:00:00,CMCSA,BUY,41.50342559814453,213.0,79599.19295120239,98151.224193573
2023-10-13T00:00:00,CMCSA,BUY,41.418338775634766,192.0,71646.87190628052,98113.19038391113
2023-10-16T00:00:00,CMCSA,BUY,41.83431625366211,171.0,64493.2038269043,98378.9999923706
2023-10-17T00:00:00,CMCSA,BUY,41.93831253051758,153.0,58076.64200973511,98463.23697662354
2023-10-18T00:00:00,CMCSA,BUY,41.61687469482422,139.0,52291.89642715454,98153.69234085083
2023-10-19T00:00:00,CMCSA,BUY,40.71873474121094,128.0,47079.89838027954,97163.942111969
2023-10-20T00:00:00,CMCSA,BUY,40.52019500732422,116.0,42379.55575942993,96919.73823928833
2023-10-23T00:00:00,CMCSA,SELL,40.595829010009766,1346.0,97021.54160690308,151663.52745437622
2023-11-03T00:00:00,CMCSA,BUY,40.822731018066406,237.0,87346.55435562134,97021.54160690308
2023-11-06T00:00:00,CMCSA,BUY,40.14202880859375,217.0,78635.7341041565,96860.21518325806
2023-11-07T00:00:00,CMCSA,BUY,39.74496841430664,197.0,70805.97532653809,96679.94976425171
2023-11-08T00:00:00,CMCSA,BUY,39.25334930419922,180.0,63740.37245178223,96359.90572357178
2023-11-09T00:00:00,CMCSA,BUY,38.648292541503906,164.0,57402.052474975586,95857.10355377197
2023-11-10T00:00:00,CMCSA,BUY,39.6220588684082,144.0,51696.475997924805,96826.00104904175
2023-11-13T00:00:00,CMCSA,BUY,39.22499084472656,131.0,46558.002197265625,96373.74057006836
2023-11-14T00:00:00,CMCSA,BUY,39.58424377441406,117.0,41926.64567565918,96829.99179077148
2023-11-15T00:00:00,CMCSA,BUY,40.20820999145508,104.0,37744.99183654785,97695.43293380737
2023-11-17T00:00:00,CMCSA,BUY,40.104217529296875,94.0,33975.195388793945,97540.38017272949
2023-11-20T00:00:00,CMCSA,BUY,40.595829010009766,83.0,30605.741580963135,98319.58436965942
